club_id,season,goalkeeper_val,centre_back_val,full_back_val,def_mid_val,central_mid_val,winger_val,forward_val,points
23826,2018,10647058.82352941,23374650.30519668,14496784.47901851,11027658.04600202,22611350.42736492,20813227.95341098,39253690.13485798,66
89,2020,1004607.84313725,6056851.93603248,2506223.31172320,5666666.66670000,2575061.12471565,2191568.19302205,3699798.56245263,50
18,2015,10098039.21571765,5241830.94383596,5225979.02846137,26666666.66670000,7644117.29373699,6750650.39023414,7748439.45068664,55
27,2019,15889705.88235294,38405169.29440333,41964859.13359588,61316337.24815554,48385980.87240630,38272693.99708657,55470168.17136751,82
18,2021,4863770.97729516,17724074.07408171,6287945.08148531,18977428.92844831,14595492.39680543,2283059.41845765,17063676.95593089,45
167,2013,952380.95238095,1766317.84320681,2864988.74236089,3000000.00000000,2041922.95744026,2721097.47160132,2163953.48837209,52
60,2019,5789901.96078431,10034865.54815128,6944466.56597556,3184968.47414880,8312189.88126667,5420048.09794491,7793896.67745887,48
60,2022,8500000.00000000,17578099.83896940,7665509.98264318,2790225.77879394,7718552.98791862,12843087.05193855,6062897.07749111,59
24,2022,8272058.82352941,16513480.58550092,5216565.29819754,8000000.00000000,16567142.71975379,18858661.16751269,34126337.14190211,50
60,2017,5094166.66663500,6302882.22252861,3813460.51084150,2252290.81903414,4610625.90975012,2305958.13202781,4863054.28516691,36
27,2021,12059117.64705882,35118773.94637400,46674966.12465648,72551470.58823088,45479953.00073260,61934159.45058226,43283879.95049505,77
24,2023,5031372.54898824,18211971.67391547,5182174.78305096,11498522.58336851,14616802.05471346,9193404.98935390,16415541.70994143,47
60,2023,7375000.00000000,9350090.66466642,8767402.37691002,2703251.53374233,9241653.41812401,12435164.76785437,5678662.88308810,42
24,2024,2687500.00000000,16917760.04082950,12593816.76252823,8250000.00000000,18259365.17013919,12014527.20550606,47403218.00980727,60
533,2025,3000000.00000000,5499654.13880563,3815825.60296846,,3891026.04330091,19537500.00000000,3585407.12019739,61
18,2022,4975032.67973464,15202205.30835770,8836129.95824635,7478187.10614077,16375141.60963500,4634914.56262280,22873108.78821124,43
33,2019,9857899.90186457,17047494.62475156,6223637.67454602,11992379.44385780,15421258.74970797,11589133.06981761,6461959.76153659,39
24,2013,6974509.80392157,5227857.68357305,4589735.09933775,743568.33642449,875000.00000000,3500000.00000000,3532011.18738876,36
15,2015,15539199.34640523,9731396.68002290,7042127.39997170,15885724.58543619,8652237.21321237,13299535.34685924,9318316.92364852,60
44,2020,4972549.01958235,8624784.54079456,4155461.97792314,6377895.75289575,14234250.49734724,11086004.94391737,19400428.92156863,35
533,2017,9000000.00000000,6773058.40409352,4198423.53525621,6606838.59972282,8819840.47472256,5986114.62951235,15047588.03352285,55
82,2018,8800000.00000000,9387220.34935749,9863251.71047893,10395734.59715640,9310011.61440797,6914179.76862438,12065957.92552833,55
105,2016,1475626.36168284,1197639.97164724,904666.94507473,692763.99027845,1305734.63530396,788471.17794651,901174.42596162,25
89,2021,1086764.70588235,5493134.14819881,1957289.72445570,5750000.00000000,3961121.51865032,4026243.60765690,7607647.53109727,57
60,2013,,6748438.64805290,2129938.92639028,2643683.94010511,5319776.95167286,400000.00000000,3191171.27071823,36
60,2016,2500000.00000000,3151967.98334529,1976459.49906155,1968128.34988908,2974431.53107630,6000000.00000000,4493179.99080507,48
533,2018,8812500.00000000,8167482.29489890,14152523.93385553,19250000.00000000,18389159.13371759,9134831.70466163,18784107.74973522,51
60,2020,5547794.11765000,7706661.64531344,6831140.89775561,6852749.51549043,3830073.54400847,8875294.11764435,5001380.08587201,45
533,2021,4619117.64705882,6377070.75586494,14062103.87323944,10624005.99369968,13126068.11769682,6333333.33330000,13513537.01867916,46
269,2024,1025000.00000000,1527697.71830037,1512362.94703083,2533333.33330000,500000.00000000,2250000.00000000,3205182.07281966,25
24,2019,6585661.76470588,9629077.51875735,2433545.77056779,2248561.15108479,16781271.81277611,27000000.00000000,12733072.97478241,45
533,2019,5550000.00000000,6765267.38707140,2700000.00000000,13999770.34628853,11371456.03372410,7213667.82006920,15161800.87600364,52
533,2022,4250000.00000000,5844297.04346521,16500000.00000000,3411396.57444005,9773176.54110607,3500000.00000000,9205641.75638247,36
23826,2024,3054248.36601307,18187958.34555588,,23000000.00000000,,26000000.00000000,,51
24,2016,4143604.84131629,3683864.94942814,2423593.41074622,3500000.00000000,2956504.83479934,1346609.25726588,2646569.16848311,42
82,2017,5000000.00000000,5799679.48718504,2032594.04333460,8562766.69642301,8908470.96643664,3479770.11494253,7796813.12113851,33
16,2020,3495588.23529412,22124213.21363130,19260606.69809593,12666666.66670000,24418563.72908969,96856311.36044881,89969969.81307861,64
86,2022,2876633.98692810,4737240.27933336,4091021.82539683,1619971.87060478,3576043.37153224,850000.00000000,6977682.02407231,36
86,2023,2063725.49022941,3858757.37668411,4621775.72309957,3609377.99331649,6358431.84198713,6000000.00000000,7133711.63586185,42
86,2024,4333333.33330000,4907253.65960236,5553566.73501394,8547667.00235237,11638114.98066451,5630588.23530894,5808204.98459815,51
86,2019,7952941.17650294,4217693.13561349,3796204.44045175,1180896.25536659,14036013.13075998,24972022.98651918,5691817.96786054,31
15,2016,16000000.00000000,15030590.87891379,9073574.75930738,11977371.11370142,14859658.65637124,19619513.16842562,9530034.49960625,41
533,2016,6000000.00000000,8713701.43149675,3166666.66670000,5095756.78042472,5436661.82524022,2404812.00358786,6554372.17059255,62
39,2016,1837254.90199412,3585772.86706914,2754954.81212835,2750000.00000000,5087065.39536575,4357788.41042329,5013174.54632602,37
16,2022,25352941.17649706,23760760.93470044,12699007.90314444,15000000.00000000,52853105.90630913,29418410.65725285,22825469.48356473,71
89,2023,4876470.58823529,10094149.72168115,7384121.67808792,6404901.96078431,7272836.23796337,10666666.66670000,4253132.45378737,33
10,2020,3750000.00000000,2945638.53912054,1455718.80232261,1266596.08258338,3788013.44745235,4857308.24890515,1136398.80951357,35
167,2022,1033823.52941176,4323712.38426771,3760841.81473176,3838195.84170895,3859998.06005401,3846744.62251052,7864494.35631483,34
79,2022,1661764.70586765,7964514.47040753,10849614.77151966,5596685.08287293,4483874.83355526,6543440.64272132,8721489.51201144,33
10,2021,5844117.64705882,3546334.98959084,2561879.01584109,1502545.88513914,2010615.15080718,4614602.44649522,1482484.00615822,28
39,2022,4176470.58823529,3245620.41155006,6531463.19569120,9018502.48863882,6913892.67409025,1750000.00000000,6027851.29446731,46
44,2018,1871323.52941176,11339830.45212766,9078629.65410883,16666666.66670000,13597228.56706737,4134691.48609179,9148772.41379310,43
82,2019,9155882.35294118,8792134.83145609,12334624.65564738,12500000.00000000,14353999.25593486,7156281.49748020,17495254.53560877,49
167,2021,1350000.00000000,6915583.05917167,3059496.66229243,7439367.57802604,3867989.80337305,4166276.14404781,3148159.47380568,38
39,2013,754578.15565729,1426774.10234662,1303542.85714286,2583333.33330000,3893674.87684729,,3896080.64820049,53
23826,2017,6033088.23529412,13300075.96859067,7002854.60543009,7561030.23516237,31491075.85524041,16836519.53893731,33203686.63596002,53
60,2018,7784558.82352941,6173353.92218676,6202279.87422027,2215491.59120310,5578388.27836681,5415099.00987738,6554358.97435911,36
127,2019,1070588.23529412,963590.67400734,2032998.59673741,812500.00000000,2464546.27722767,1362909.44411237,1226999.82102688,20
23826,2021,9280686.27450980,20434388.62124340,22410874.62200276,18000000.00000000,22168857.29613734,13500000.00000000,43813280.00440970,58
3,2019,4500000.00000000,5134016.77904697,3737080.02385674,5956033.40812765,3406601.41133622,1920488.32270580,6356065.05976876,36
167,2020,1500000.00000000,8418262.46128343,3204781.87919463,4265654.81352992,4448934.10854433,4991346.60698836,5181280.81458643,36
167,2023,4173529.41176471,4513025.02561101,3660823.64177028,5118921.00976371,4777701.67428394,5487547.45633914,13305774.05858054,39
23826,2020,11720588.23529412,35850827.11169668,22695585.18761823,17500000.00000000,26935557.32719107,18997045.88309239,26112487.80488392,65
33,2020,1731666.66666667,7575020.94997696,1952780.32686589,4584215.09218852,6193755.21426890,13083463.27451785,3905964.69280809,16
80,2023,688235.29411765,4382728.34786613,2746268.08248692,3011910.11235955,3333692.82822561,3103691.06698489,1923787.98668969,33
18,2024,3493291.88481675,9385093.16770186,7424075.26707512,5346700.86267195,9395949.90674127,9498547.81053896,9260497.71853954,45
89,2024,2988235.29411765,11662557.81065366,7606313.72861170,3825595.72719803,3715429.18127792,,4947919.79740786,40
82,2020,11801470.58823529,12489005.13334138,10797051.44004558,6000000.00000000,16733042.47458669,8119146.00550964,19614220.40498155,61
533,2020,4813235.29411765,6658009.82128719,13663331.06531882,12294772.82178373,12601089.58838752,6633333.33330000,16060045.13588757,43
80,2022,1100000.00000000,3344107.09157125,1336455.49318364,1038643.37101747,2374935.95714951,2777431.15321082,1927117.74205239,35
23826,2022,2407843.13722941,29190437.29580297,16830749.60015138,,27148019.08318794,8000000.00000000,40329076.23817471,66
533,2023,3500000.00000000,5182892.28666002,8000000.00000000,10848024.63891249,4771006.69691515,2683489.20863309,9606433.58306576,46
82,2023,5239705.88235294,11002482.22192406,10171167.19613420,400000.00000000,12128374.53822109,9131063.12292874,16556583.53445964,37
2036,2025,6426470.58823529,2438380.15955602,1586918.20435142,2430426.46254784,4028621.30561871,3598701.73102530,2460178.70079691,26
82,2025,12000000.00000000,14067910.44776119,8672139.18157314,,6394828.25164029,14095238.09523810,24284638.00073502,29
15,2020,5426470.58823529,22841867.14347719,7079738.87429673,4278013.18267420,19695188.15545959,29444478.15533727,22207084.89386330,52
39,2021,4808823.52941176,7774556.42887939,4410957.93288557,5892241.37931724,5280868.17651807,1375000.00000000,8050934.08530137,46
82,2022,8000000.00000000,14258723.56495468,9109170.84648893,2500000.00000000,11715594.74021313,11441011.23596891,9299934.51212264,49
39,2023,3423529.41173529,5113698.16738610,4302743.42449051,4804929.79719189,8297698.84569845,2378750.00000000,5057159.77379343,35
82,2024,12063725.49019608,10481558.07805940,9158190.76431112,5333333.33330000,7651043.07775421,11243433.39587242,19754392.02527985,43
16,2024,37694117.64705882,17329603.57825205,17582514.33252160,5072779.13607286,17580262.37327641,39351278.77237852,35157577.01916174,57
167,2019,3426470.58825882,7790812.05725270,7770153.21436734,4805518.12056092,6930656.60472748,6477987.55186722,6812248.99599125,36
60,2025,20000000.00000000,6023362.85985448,4449108.24108241,9779741.67233175,15105343.80386899,6032016.34877384,10271273.12295974,47
15,2021,5301470.58823529,24526494.43368829,15762007.59060703,11827646.54415013,23701375.45057849,33128022.91047942,25697025.32131074,64
39,2024,3468627.45101176,3106012.39743579,5455666.43726896,11569693.51157483,9849153.44541795,6205128.20509615,21565574.51650396,52
27,2024,3880000.00000000,35567858.38251453,33209510.75495561,47715707.96461154,88310584.21448045,56453908.76395987,48472450.98038408,82
79,2020,8586764.70585000,6749637.93505502,5768413.12857573,10189858.81259430,2430513.10044134,11582118.21741096,12317342.75296263,45
3,2021,2768627.45098824,3741601.70093931,2788522.14073584,8818537.91598465,3776342.46279922,4983520.35206119,2621070.89737159,52
39,2015,6000000.00000000,2649355.89206258,2152950.44650674,4362070.52853519,4235299.88720500,2963101.14030739,2956228.50969042,50
27,2018,18674237.47274180,46562921.24012410,3764418.12564367,54040818.65995884,55263713.76228244,24528649.16773367,56194455.92286501,78
38,2019,4104166.66665000,3166703.22527824,3260668.94067965,4550233.98788769,3612509.93904055,2161266.72240176,3259187.92934249,30
23826,2023,3281862.74508529,25286447.73147788,19078351.19383343,17333333.33330000,36822679.66775355,5500000.00000000,38565835.98444680,65
27,2022,5923529.41177647,54852497.49339083,50420458.92788276,69616182.57261411,71429160.33846821,60181836.81835849,29738969.15266210,71
15,2022,2951470.58823529,24496415.19529160,26629156.40393738,10995603.48403152,21037091.98813056,35133057.85124959,19597200.70240598,50
3,2023,5500000.00000000,6451094.81769349,2107490.58025622,7560106.01681161,3486649.08772633,4303264.60483250,2166184.02702519,27
39,2025,1081491.17069980,1838410.59602649,2213213.96192203,22126840.31710079,11155916.27509611,3791147.13216958,7161629.43495401,40
23826,2019,10276470.58823529,35659260.70038911,21565592.93414876,12039561.46926537,28818447.29345265,22754183.40026774,42392608.83043685,66
15,2017,16838235.29408529,15883804.08497990,14927021.69627337,10414686.99338199,21997386.51994498,30391119.04051719,18581655.72576324,55
44,2022,3732352.94114412,2549762.16614951,2374367.02936209,2501202.54423930,6568390.66824028,9535429.74079381,2654648.91975309,29
39,2019,3608333.33334559,8853184.51926398,6184237.97519301,6250000.00000000,4955604.79041916,,8099449.42903752,37
39,2020,4404779.41176471,7306757.49762180,2260128.78359250,4928587.19646799,4617292.85891051,833333.33330000,5680391.32553091,39
89,2022,3501960.78428529,8300876.61505595,3979973.77909392,9000000.00000000,5060362.18936859,12654947.60180200,4933934.03605957,62
105,2023,1175000.00000000,1854290.11157895,1385615.38842807,519917.98476860,1845849.66155151,1404100.44500954,1744493.72824666,17
16,2023,31109542.48366013,19104402.06637892,14815267.29240137,11500000.00000000,23079580.11759793,27368531.10663699,24152633.67915926,63
15,2025,8000000.00000000,32544296.71098670,16855501.81378476,7000000.00000000,22781080.66264128,15112479.01510912,24209966.13449444,59
79,2021,5794117.64705882,8327746.15712565,16275780.78963754,9713343.32834514,2162976.62974365,4436405.04770837,12576524.21650619,33
79,2023,9823529.41176471,14717678.10026385,8288048.92720285,11838032.06450399,19727736.35704445,14092297.16520039,30738206.13325573,73
167,2024,4404411.76469118,6867169.40378151,2681918.05715769,6276310.44290939,6340916.73205843,7662162.16216216,4614096.67837224,43
24,2025,5918300.65359477,15792223.72132957,24913698.00045966,6000000.00000000,22073925.27119325,20015082.95625943,28360653.18818040,44
24,2020,6555882.35294118,11120391.49150277,2056338.02820235,1800000.00000000,16217522.26909910,6523668.01552150,27677913.61042456,60
65,2021,527941.17647059,1288757.26858481,1683333.33331528,1266666.66670000,1634400.96952303,3666666.66670000,1675643.41347782,18
2036,2023,1000000.00000000,2453703.24049788,1749334.35738300,2851041.66666667,1816859.49786751,9470153.10664056,3839474.52944459,42
41,2025,,13793048.21664465,,4500000.00000000,8750000.00000000,,,38
3,2020,3956427.01525000,5192641.96413674,4209939.25778086,6485498.81235114,4905140.59980586,3768049.56896552,6563682.75386845,33
